ID de la venta,Nombre producto,Cantidad vendida,Precio unitario,Fecha de venta
88,Teclado Mecánico,29,47.25,2024-09-01
89,Cinta LED RGB,21,1661.27,2024-12-01
90,Laptop,18,85.99,2025-01-31
91,Kit Arduino,42,779.82,2024-07-19
92,Lentes de Realidad Aumentada,37,55.26,2024-11-15
93,Cámara de Acción 4K,6,567.28,2024-07-09
94,Smartwatch,1,208.15,2025-03-24
95,Fuente de Poder,36,352.42,2024-11-11
96,Procesador,35,1039.33,2024-04-28
97,Silla Gamer,2,923.42,2024-08-05
98,Mini PC,6,1717.26,2025-03-01
99,SSD,15,1461.68,2024-10-13
100,Smart Mirror,32,1737.55,2024-06-17
101,Monitor,15,1412.52,2024-04-27
102,Auriculares,4,442.05,2024-08-02
103,Batería Externa,11,1238.35,2024-10-06
104,Proyector 4K,41,1492.58,2024-08-22
105,Mochila Solar,46,1049.72,2024-10-10
106,Estabilizador de Voltaje,43,1109.71,2024-09-01
107,Ebook Reader,19,1914.64,2024-05-27
108,Tarjeta de Sonido,34,1858.62,2024-05-02
109,Cinta LED RGB,39,67.5,2024-06-22
110,Impresora,49,883.63,2024-06-30
111,Caja de Herramientas Electrónicas,32,1363.87,2025-03-16
112,Mini PC,33,870.7,2024-04-29
113,Sistema de Alarma Inteligente,6,578.87,2025-03-24
114,Webcam,33,140.39,2024-11-23
115,Cerradura Inteligente,36,1466.52,2024-10-06
116,Impresora 3D,43,1274.91,2025-01-04
117,Micrófono,1,1887.63,2024-06-13
118,Batería Externa,16,728.92,2025-02-19
119,Freidora de Aire,12,698.34,2024-06-07
120,Kit de Energía Eólica,6,339.59,2024-04-10
121,Smart Ring,47,532.13,2025-02-20
122,Drone,49,11.38,2024-05-22
123,Laptop,48,1837.46,2024-09-19
124,Sistema de Alarma Inteligente,50,1567.55,2025-03-22
125,Cinta LED RGB,20,828.7,2024-12-26
126,Teclado,10,191.34,2025-03-18
127,Robot Aspiradora,12,1653.81,2024-12-28
128,Monitor,37,1645.32,2024-11-12
129,Tarjeta de Sonido,23,131.2,2024-05-24
130,Sensor de Movimiento,6,642.4,2024-10-18
131,Placa Madre,46,1388.59,2025-02-26
132,Micrófono,3,118.05,2025-03-14
133,Reproductor Multimedia,34,1740.64,2024-07-29
134,Cinta LED RGB,9,1910.01,2025-01-04
135,Cámara para Auto Dashcam,33,196.21,2024-05-23
136,Repetidor WiFi,44,1677.15,2024-05-21
137,Convertidor de Video HDMI,2,453.42,2024-10-17
138,Freidora de Aire,31,1336.23,2024-11-02
139,Memoria USB,11,1267.96,2024-05-08
140,Procesador,9,1203.28,2024-08-29
141,Interruptor Inteligente,14,1707.91,2025-01-01
142,Cámara para Auto Dashcam,4,1429.7,2024-05-25
143,Mini PC,4,1763.27,2024-04-15
144,Cerradura Biométrica,4,1213.44,2024-08-06
145,Cargador Portátil,10,615.9,2024-09-19
146,Smartphone,7,1895.99,2024-04-09
147,Placa Madre,12,1015.39,2024-05-30
148,Convertidor de Video HDMI,27,1149.83,2025-02-15
149,Laptop,22,671.57,2025-02-27
150,Microscopio Digital,27,1126.4,2025-02-02
151,Consola de Videojuegos,46,1938.3,2024-12-24
152,Batería Recargable Portátil,47,1529.69,2025-03-11
153,Proyector 4K,10,100.93,2024-08-06
154,Monitor,10,815.64,2024-08-07
155,Cámara para Streaming,24,1707.17,2024-06-18
156,Estabilizador de Voltaje,42,504.47,2024-04-29
157,Purificador de Aire,38,1303.44,2024-10-06
158,Kit de Domótica,4,723.75,2024-04-29
159,Cargador Portátil,40,1083.68,2024-12-26
160,Altavoz Inteligente,13,421.08,2024-11-15
161,Antena Satelital,44,1091.08,2024-06-28
162,Kit de Energía Eólica,8,1678.33,2024-05-13
163,Caja de Herramientas Electrónicas,27,334.0,2024-06-30
164,SSD,26,1775.3,2025-02-06
165,Tarjeta Gráfica,37,1733.24,2024-05-18
166,Módulo GPS para Arduino,29,1436.9,2024-07-20
167,Mouse,16,1882.49,2025-04-02
168,Sistema de Alarma Inteligente,6,355.31,2025-02-07
169,Silla Gamer,26,1328.88,2024-09-18
170,Lentes de Realidad Aumentada,31,442.19,2025-02-20
171,Cargador Portátil,38,258.52,2025-02-22
172,Monitor,6,1327.54,2024-06-08
173,Micrófono,39,1766.25,2024-04-19
174,Raspberry Pi,50,693.49,2025-03-05
175,Mini PC,20,1457.59,2024-07-06
176,Interruptor Inteligente,43,1363.28,2024-09-25
177,Webcam,24,1056.52,2025-01-29
178,Termostato Inteligente,16,104.41,2025-01-28
179,Guantes VR,37,1677.94,2024-07-07
180,Monitor,19,67.87,2024-05-03
181,Cámara para Auto Dashcam,6,835.04,2024-09-03
182,Cámara para Auto Dashcam,22,1902.9,2024-07-26
183,Altavoces,14,843.34,2025-03-01
184,Impresora,19,107.26,2024-09-07
185,Placa de Desarrollo ESP32,45,1298.79,2024-10-30
186,Monitor Ultrawide,19,1497.36,2024-11-24
187,Smartphone,6,764.45,2024-11-07
188,Mochila Solar,12,1076.26,2024-10-24
189,Interruptor Inteligente,49,1470.2,2024-07-04
190,Cámara,28,579.44,2024-12-11
191,Drone,10,1657.24,2024-12-31
192,Lámpara Inteligente,7,417.48,2025-02-22
193,Guantes VR,49,461.69,2025-03-06
194,Proyector,48,1482.97,2025-02-11
195,Smartphone,14,1644.32,2024-06-21
196,Repetidor WiFi,41,1410.05,2025-03-10
197,Mini PC,22,1972.88,2024-12-20
198,Batería Externa,10,722.28,2025-03-01
199,Batería Externa,8,825.23,2025-01-29
200,Control Remoto Universal,13,231.15,2025-02-15
201,Teclado,13,1584.81,2024-11-19
202,Panel Solar,32,588.69,2025-02-10
203,Router Mesh,9,822.91,2024-12-25
204,Tarjeta Gráfica,9,1202.24,2024-11-16
205,Router,50,1062.34,2025-03-28
206,Impresora 3D,26,443.28,2024-10-02
207,Impresora,33,593.83,2024-06-27
208,Antena Satelital,24,1000.56,2025-02-23
209,Auriculares,2,1622.56,2024-05-28
210,Cámara de Seguridad,33,1213.39,2024-04-04
211,Memoria USB,9,764.91,2024-09-03
212,Smart Mirror,25,1213.64,2024-06-20
213,Mouse,4,1184.46,2025-03-25
214,Guantes VR,35,1907.84,2024-06-18
215,Lector de Huellas,37,1762.58,2024-10-09
216,Monitor de Frecuencia Cardíaca,25,1705.08,2024-11-16
217,Telescopio Digital,33,981.89,2024-04-11
218,Proyector,4,1895.02,2024-08-01
219,Tablet,43,1242.06,2024-04-21
220,Altavoz Inteligente,48,351.98,2024-08-26
221,Detector de Humo,9,758.46,2024-04-23
222,Cargador Inalámbrico,1,546.64,2024-06-09
223,Controlador VR,29,561.14,2024-07-13
224,Robot Aspiradora,34,1292.97,2025-03-06
225,Cafetera Inteligente,23,295.11,2024-10-29
226,Batería Externa,37,1336.8,2024-08-18
227,Microscopio Digital,28,997.51,2025-01-20
228,Disco Externo SSD,17,778.53,2024-06-12
229,Silla Gamer,34,387.72,2025-03-07
230,Cargador Inalámbrico,2,317.23,2024-08-10
231,Interruptor Inteligente,35,1180.18,2024-08-04
232,Batería Recargable Portátil,21,14.59,2024-04-29
233,Proyector 4K,9,1215.63,2024-08-22
234,Tarjeta Gráfica,14,1920.13,2025-03-24
235,Termómetro Inteligente,20,1057.45,2025-02-12
236,Kit de Domótica,43,876.07,2024-09-21
237,Raspberry Pi,15,1674.71,2024-09-11
238,Memoria USB,43,1472.25,2024-08-28
239,Silla Gamer,7,1780.95,2024-09-30
240,Batería Recargable Portátil,21,1354.29,2024-07-26
241,Estabilizador de Voltaje,18,805.21,2024-10-16
242,SSD,43,1699.35,2025-02-10
243,Smartphone,34,998.43,2024-09-02
244,Cámara de Acción 4K,36,413.27,2024-12-06
245,Smart Ring,4,1763.65,2025-02-20
246,Reproductor Multimedia,15,1463.38,2024-05-30
247,Telescopio Digital,14,1173.25,2024-05-31
248,Batería Externa,30,1582.05,2025-03-08
249,Consola de Videojuegos,49,1977.07,2024-04-04
250,Controlador VR,31,654.03,2025-03-12
251,Batería Recargable Portátil,41,1872.25,2024-06-25
252,Smart Ring,9,1752.13,2024-09-24
253,Cargador Portátil,32,1165.77,2024-04-05
254,Proyector 4K,5,853.8,2024-12-26
255,Báscula Inteligente,50,791.96,2024-04-07
256,Termostato Inteligente,42,181.56,2024-07-26
257,Panel Solar,44,1653.57,2024-08-06
258,Mini Impresora Térmica,33,333.16,2024-10-20
259,Interruptor Inteligente,27,841.28,2025-02-22
260,Monitor Ultrawide,31,1019.71,2025-03-20
261,Monitor Portátil,41,1469.07,2025-03-19
262,Microscopio Digital,36,265.52,2024-06-06
263,Mini PC,6,1908.48,2024-07-15
264,Báscula Inteligente,41,1533.81,2024-09-10
265,Disco Duro,37,1079.06,2025-02-16
266,Kit Arduino,44,1889.4,2024-09-29
267,Módulo GPS para Arduino,11,295.84,2024-05-01
268,Kit Arduino,10,748.17,2024-08-18
269,Tarjeta Gráfica,45,1740.11,2024-08-27
270,Smart Mirror,9,52.87,2024-09-04
271,Teclado Mecánico,47,776.75,2024-06-27
272,Drone,47,20.03,2024-11-25
273,Estabilizador de Voltaje,19,1014.46,2025-01-30
274,Altavoz Inteligente,44,959.25,2025-01-01
275,Consola de Videojuegos,21,865.4,2024-10-08
276,Micrófono Inalámbrico,2,1727.73,2025-02-20
277,Smart Mirror,46,1942.38,2024-05-25
278,Interruptor Inteligente,48,1391.13,2024-05-10
279,Micrófono Inalámbrico,7,1681.84,2025-01-20
280,Monitor Portátil,9,20.95,2024-04-17
281,Kit de Domótica,34,671.18,2024-12-23
282,Batería Recargable Portátil,43,1342.56,2024-06-15
283,Smart Ring,37,1505.25,2024-12-21
284,Impresora 3D,17,1866.67,2025-01-15
285,Termómetro Inteligente,6,833.28,2024-05-06
286,Guantes VR,45,619.82,2025-03-11
287,Router,16,801.08,2024-04-02
288,Memoria USB,18,317.05,2024-07-13
289,Antena Satelital,17,1514.24,2024-07-25
290,Cámara de Seguridad,33,1282.71,2024-12-28
291,Kit de Domótica,29,1643.24,2025-01-05
292,Monitor de Frecuencia Cardíaca,5,1136.09,2024-11-06
293,Power Bank Solar,4,187.49,2024-06-24
294,Monitor de Frecuencia Cardíaca,13,1147.42,2024-08-22
295,Reproductor Multimedia,1,1646.0,2025-01-08
296,Batería Recargable Portátil,25,1974.87,2024-11-13
297,Mini PC,38,615.1,2024-05-04
298,Convertidor de Video HDMI,1,1248.97,2024-12-16
299,Disco Duro,9,473.38,2024-05-11
300,Purificador de Aire,25,1444.69,2024-12-21
301,Cinta LED RGB,35,238.74,2024-07-24
302,Raspberry Pi,13,303.52,2024-09-05
303,Panel Solar,36,1431.17,2024-07-18
304,Cámara 360°,37,1781.62,2024-05-11
305,Kit Arduino,9,531.21,2024-10-14
306,Sistema de Sonido Envolvente,6,1774.73,2024-08-06
307,Mouse,40,824.95,2024-10-06
308,Monitor,25,12.2,2024-10-09
309,Grabadora de Voz,3,644.89,2024-04-03
310,Robot Aspiradora,48,941.65,2024-07-09
311,Mouse,41,1612.92,2024-12-04
312,Detector de Humo,23,614.84,2024-05-01
313,Power Bank Solar,44,759.9,2024-07-23
314,Lentes de Realidad Aumentada,45,1622.18,2024-04-16
315,Proyector 4K,30,1949.5,2025-03-01
316,Monitor Portátil,18,1132.3,2025-03-02
317,Laptop,19,577.14,2024-10-19
318,Kit de Domótica,24,660.04,2024-09-29
319,Panel Solar,14,905.73,2024-04-04
320,Router Mesh,48,176.04,2024-10-13
321,Caja de Herramientas Electrónicas,18,1725.75,2024-06-09
322,Purificador de Aire,35,1303.32,2025-03-20
323,Panel Solar,31,735.1,2025-03-17
324,Memoria RAM,30,528.96,2024-12-27
325,Termómetro Inteligente,31,1876.38,2024-10-27
326,Teclado,1,327.41,2024-11-01
327,Cámara 360°,29,1396.2,2024-06-23
328,Grabadora de Voz,45,563.79,2024-10-24
329,Teclado,27,1022.93,2025-02-20
330,Placa Madre,18,343.16,2025-03-04
331,Kit Arduino,49,277.61,2025-04-02
332,Teclado,43,272.36,2024-07-15
333,Cargador Inalámbrico,7,1342.72,2024-06-01
334,Kit Arduino,30,1847.48,2025-03-20
335,Smartwatch,44,662.39,2024-06-18
336,Disco Externo SSD,1,301.17,2024-09-05
337,Cerradura Biométrica,38,1503.35,2025-02-16
338,Telescopio Digital,19,1313.54,2024-08-15
339,Mochila Solar,11,1456.68,2024-06-28
340,Kit de Domótica,19,980.79,2025-01-22
341,Robot Aspiradora,16,1662.6,2025-01-16
342,Hub USB-C,13,935.86,2025-02-10
343,Auriculares,32,1081.81,2025-01-04
344,Impresora 3D,40,334.66,2024-06-20
345,Cámara para Streaming,19,1140.24,2024-11-03
346,Cargador Inalámbrico,21,846.14,2025-03-05
347,Teclado,39,324.38,2025-01-10
348,Raspberry Pi,15,1775.23,2024-12-21
349,Cinta LED RGB,26,447.81,2024-10-06
350,Teclado Mecánico,40,102.76,2024-07-08
351,Drone,42,1701.66,2025-03-09
352,Lector de Huellas,7,810.35,2024-08-07
353,Reproductor de Vinilo,43,655.68,2024-11-20
354,Monitor,38,364.37,2024-10-02
355,Termostato Inteligente,9,1338.97,2024-09-23
356,Micrófono,28,1642.06,2025-03-28
357,Convertidor de Video HDMI,41,523.33,2024-11-24
358,Monitor,42,650.67,2024-04-24
359,Lector de Huellas,10,687.8,2024-04-18
360,Cámara para Auto Dashcam,18,527.1,2024-11-10
361,Consola de Videojuegos,18,475.6,2025-03-12
362,Monitor de Frecuencia Cardíaca,16,355.17,2024-09-30
363,Memoria RAM,45,912.36,2025-02-04
364,Placa de Desarrollo ESP32,15,661.09,2024-04-11
365,Micrófono Inalámbrico,8,831.51,2024-11-27
366,Cargador Portátil,29,347.25,2024-07-01
367,Silla Gamer,1,953.68,2024-12-30
368,Reproductor Multimedia,4,1361.59,2024-10-30
369,Robot Aspiradora,15,753.89,2024-06-11
370,Monitor Ultrawide,29,1865.04,2024-11-05
371,Cámara 360°,35,474.21,2025-02-18
372,Webcam,43,1526.99,2024-11-14
373,Lámpara Inteligente,34,1477.89,2024-05-06
374,Lámpara Inteligente,1,785.66,2024-10-22
375,Impresora 3D,32,949.65,2024-07-20
376,Detector de Humo,29,1363.54,2024-08-18
377,Cámara para Streaming,2,1788.57,2024-06-05
378,Cinta LED RGB,23,1247.81,2024-06-25
379,Freidora de Aire,21,46.94,2024-10-11
380,Altavoces,38,1816.9,2024-10-23
381,Kit Arduino,29,352.89,2025-01-30
382,Smart Mirror,32,596.48,2024-08-03
383,Silla Gamer,31,1067.23,2024-07-19
384,Freidora de Aire,4,1105.5,2024-11-30
385,Cámara para Streaming,24,926.07,2024-11-04
386,Monitor Ultrawide,19,1930.61,2025-01-14
387,Monitor Ultrawide,5,1530.96,2025-03-15
388,Cargador Inalámbrico,43,1176.58,2024-10-12
389,Mini PC,23,1889.3,2024-09-17
390,Cámara para Streaming,50,1602.98,2024-04-03
391,Cámara,26,787.41,2025-01-28
392,Placa Madre,50,930.1,2024-09-28
393,Cámara de Seguridad,2,1499.08,2024-04-02
394,Memoria USB,7,481.25,2025-02-18
395,Purificador de Aire,31,463.97,2024-11-08
396,Monitor de Frecuencia Cardíaca,19,1479.89,2024-12-05
397,Smartwatch,22,1770.66,2024-09-06
398,Altavoces,9,1109.46,2025-02-08
399,Procesador,22,1865.63,2024-05-23
400,Consola de Videojuegos,30,1211.82,2024-06-12
401,Laptop,41,1854.1,2024-04-26
402,Cargador Solar Portátil,40,494.54,2024-04-11
403,Drone,2,1890.45,2024-10-24
404,Sistema de Sonido Envolvente,12,726.57,2025-02-22
405,Microscopio Digital,3,656.44,2024-08-22
406,Caja de Herramientas Electrónicas,36,1076.37,2024-11-30
407,Lámpara Inteligente,48,554.88,2024-08-17
408,Hub USB-C,17,1884.99,2025-01-11
409,Control Remoto Universal,27,1176.57,2025-03-09
410,Estabilizador de Voltaje,15,517.3,2024-04-07
411,Cámara para Streaming,1,825.45,2024-11-12
412,Reproductor de Vinilo,36,152.78,2024-04-19
413,Sistema de Alarma Inteligente,8,743.79,2025-02-03
414,Laptop,13,811.33,2025-01-07
415,Antena Satelital,36,259.19,2024-10-17
416,Hub USB-C,13,1318.1,2024-07-18
417,Teclado Mecánico,40,822.75,2024-08-18
418,Báscula Inteligente,22,595.17,2024-05-28
419,Laptop,34,149.43,2025-01-25
420,Fuente de Poder,48,490.23,2024-11-15
421,Cafetera Inteligente,7,951.41,2024-10-11
422,Báscula Inteligente,1,466.52,2024-09-18
423,Kit Arduino,39,854.47,2024-04-18
424,Micrófono Inalámbrico,5,1193.66,2024-11-15
425,Teclado,22,1504.4,2025-03-20
426,Silla Gamer,37,1610.73,2025-02-14
427,Báscula Inteligente,44,513.97,2025-03-02
428,Cámara de Seguridad,9,1119.58,2024-07-13
429,Termostato Inteligente,28,991.1,2025-03-21
430,Altavoces,25,1915.5,2024-10-31
431,Lámpara Inteligente,39,17.93,2025-01-31
432,Teclado,34,1075.63,2024-12-11
433,Hub USB-C,33,870.04,2024-09-14
434,Memoria USB,28,1484.65,2024-10-04
435,Batería Recargable Portátil,35,1563.99,2024-06-29
436,Power Bank Solar,44,701.73,2025-01-01
437,Memoria RAM,29,1688.93,2024-04-16
438,Lector de Huellas,9,1731.45,2024-04-07
439,Monitor de Frecuencia Cardíaca,27,743.11,2024-09-23
440,Cámara para Streaming,33,1247.35,2024-12-29
441,Smart Ring,32,95.5,2024-12-30
442,Cámara para Streaming,35,1620.92,2025-01-15
443,Lámpara Inteligente,12,1944.74,2025-01-17
444,Termostato Inteligente,40,1884.22,2024-11-24
445,Reproductor Multimedia,12,698.68,2024-11-15
446,Ebook Reader,3,185.99,2024-09-30
447,Placa Madre,5,476.61,2024-05-15
448,Guantes VR,3,1620.27,2025-02-07
449,Cámara para Streaming,16,94.02,2024-11-23
450,Smart TV,35,517.69,2024-10-07
451,Cámara de Acción 4K,41,1899.47,2024-04-08
452,Batería Externa,37,38.46,2024-11-26
453,Hub USB-C,17,1934.12,2024-05-09
454,Smart TV,23,64.7,2025-02-08
455,Cámara de Seguridad,33,43.1,2024-09-12
456,Memoria USB,4,270.96,2025-01-04
457,Placa de Desarrollo ESP32,45,426.12,2024-06-13
458,Smart Mirror,4,1820.9,2024-08-24
459,Micrófono Inalámbrico,24,608.69,2024-11-11
460,Reproductor Multimedia,44,214.17,2024-07-21
461,Microscopio Digital,31,1087.94,2025-02-03
462,Proyector,41,394.47,2024-08-09
463,Ebook Reader,45,1964.06,2024-12-23
464,Cargador Solar Portátil,29,838.36,2025-02-01
465,Procesador,11,998.24,2024-09-11
466,Luz de Emergencia Recargable,42,1480.43,2024-11-07
467,Lámpara Inteligente,32,1824.51,2024-04-05
468,Sistema de Alarma Inteligente,20,1166.5,2024-11-15
469,Placa de Desarrollo ESP32,13,725.11,2024-12-31
470,Cámara,37,1835.02,2024-11-21
471,Cámara para Streaming,20,477.35,2024-10-02
472,Grabadora de Voz,31,1037.73,2024-07-15
473,Fuente de Poder,22,289.82,2025-01-30
474,Cerradura Inteligente,9,1254.9,2024-04-18
475,Cámara para Streaming,41,986.39,2024-07-07
476,Purificador de Aire,42,1876.66,2024-11-23
477,Control Remoto Universal,16,962.62,2024-11-04
478,Cerradura Biométrica,24,1555.52,2024-10-22
479,Estabilizador de Voltaje,2,378.08,2024-08-31
480,Smart TV,30,170.61,2024-10-08
481,Joystick,5,1625.55,2024-08-06
482,Ebook Reader,27,771.46,2024-04-03
483,Lámpara Inteligente,15,759.75,2024-10-08
484,Smartphone,20,637.63,2024-08-27
485,Cargador Portátil,17,811.58,2024-11-30
486,Tablet,4,1477.68,2024-08-14
487,Smart Mirror,14,1084.58,2024-11-03
488,Silla Gamer,30,874.74,2024-08-09
489,Mouse,6,1676.68,2024-04-19
490,Disco Externo SSD,40,849.04,2024-10-12
491,Telescopio Digital,19,464.1,2024-04-20
492,Smartphone,30,476.64,2024-05-06
493,Memoria USB,18,1178.14,2024-06-16
494,Laptop,12,725.53,2024-06-18
495,Grabadora de Voz,48,1583.32,2024-05-14
496,Kit Arduino,16,408.08,2024-05-13
497,Interruptor Inteligente,34,979.4,2024-10-19
498,Altavoces,26,1273.44,2024-06-25
499,Consola de Videojuegos,30,1160.23,2025-01-29
500,Antena Satelital,37,55.95,2024-06-25
501,Router Mesh,48,386.54,2025-03-06
502,Disco Duro,2,1362.68,2024-06-15
503,Webcam,1,1800.1,2024-05-12
504,Antena Satelital,3,1401.46,2024-12-28
505,Caja de Herramientas Electrónicas,30,716.02,2024-12-22
506,Placa de Desarrollo ESP32,11,1088.82,2025-03-30
507,Monitor Portátil,16,1198.97,2024-12-26
508,Disco Duro,36,1973.23,2025-02-27
509,Cerradura Inteligente,5,305.42,2024-05-13
510,Grabadora de Voz,25,1377.62,2024-12-29
511,Cafetera Inteligente,29,57.24,2024-08-15
512,Laptop,4,240.43,2025-03-31
513,Proyector,8,1927.82,2024-11-03
514,Disco Externo SSD,24,517.39,2024-11-05
515,Reproductor de Vinilo,2,1466.11,2025-02-18
516,Módulo GPS para Arduino,37,1627.56,2024-09-15
517,Micrófono,38,32.38,2024-11-28
518,Cargador Solar Portátil,50,1994.87,2024-11-22
519,Smart Ring,31,775.9,2024-11-29
520,Placa de Desarrollo ESP32,36,1139.56,2024-12-03
521,Lámpara Inteligente,17,1023.83,2024-08-22
522,Fuente de Poder,44,1248.51,2025-03-23
523,Telescopio Digital,41,313.0,2024-11-10
524,Placa de Desarrollo ESP32,47,86.14,2024-05-17
525,Placa de Desarrollo ESP32,36,1296.03,2025-02-15
526,Antena Satelital,19,1682.86,2024-07-29
527,Cámara para Streaming,7,947.56,2024-08-10
528,Cerradura Inteligente,29,81.44,2025-02-25
529,Controlador VR,27,649.05,2024-11-29
530,Gimbal,16,1144.51,2024-12-19
531,Router Mesh,41,1534.08,2024-12-29
532,Teclado Mecánico,26,1182.08,2025-01-10
533,Guantes VR,38,992.97,2025-01-21
534,Robot Aspiradora,33,1976.75,2024-04-27
535,Proyector,40,370.36,2024-06-19
536,Proyector,2,44.57,2024-08-08
537,Timbre Inteligente,16,60.88,2024-10-02
538,Monitor,17,1120.15,2024-08-13
539,Cámara para Streaming,15,1491.19,2024-07-17
540,Micrófono Inalámbrico,50,914.7,2024-10-17
541,Altavoces,12,1131.95,2025-01-10
542,Sensor de Movimiento,26,1586.79,2024-09-15
543,Sistema de Alarma Inteligente,28,1337.52,2025-03-21
544,Controlador VR,46,1341.69,2024-05-09
545,Laptop,49,1293.97,2024-05-01
546,Laptop,37,1215.94,2024-04-25
547,Placa Madre,30,1036.92,2024-08-08
548,Antena Satelital,13,1913.77,2024-12-20
549,Cargador Portátil,2,189.09,2024-10-01
550,Smartwatch,10,868.64,2024-11-12
551,Monitor Portátil,44,297.9,2024-10-06
552,Lentes de Realidad Aumentada,28,1897.34,2024-05-25
553,Memoria RAM,7,517.35,2024-06-11
554,Procesador,43,368.3,2024-05-27
555,Tarjeta de Sonido,16,1029.1,2024-08-09
556,Termostato Inteligente,2,1498.15,2025-02-28
557,Controlador VR,4,1934.8,2024-12-28
558,Drone,31,828.21,2024-05-28
559,Cámara de Acción 4K,47,1129.38,2024-11-02
560,Joystick,7,386.43,2024-11-02
561,Grabadora de Voz,7,510.75,2024-12-03
562,Cámara para Streaming,15,1123.31,2024-06-08
563,Grabadora de Voz,16,1622.26,2024-08-15
564,Raspberry Pi,40,1477.27,2024-11-08
565,Kit de Energía Eólica,28,607.62,2024-08-12
566,Robot Aspiradora,3,1651.12,2024-12-15
